compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
1000,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,1ST AVE,1ST AVE BETWEEN YESLER WAY AND CHERRY ST,Under-saturated,,Under-saturated,,weekday_day Under-saturated | weekday_night nan | weekend_day Under-saturated | weenend_night: nan
7230,5TH AVE BETWEEN MADISON ST AND SPRING ST,5TH AVE,5TH AVE BETWEEN MADISON ST AND SPRING ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7242,5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,5TH AVE,5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7243,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,5TH AVE,5TH AVE BETWEEN VIRGINIA ST AND LENORA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7244,5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,5TH AVE,5TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7245,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,5TH AVE,5TH AVE BETWEEN BLANCHARD ST AND BELL ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7246,5TH AVE BETWEEN BELL ST AND BATTERY ST,5TH AVE,5TH AVE BETWEEN BELL ST AND BATTERY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7248,5TH AVE BETWEEN WALL ST AND VINE ST,5TH AVE,5TH AVE BETWEEN WALL ST AND VINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7249,5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,5TH AVE,5TH AVE BETWEEN TAYLOR AVE AND DENNY WAY,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7875,6TH AVE BETWEEN COLUMBIA ST AND MARION ST,6TH AVE,6TH AVE BETWEEN COLUMBIA ST AND MARION ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7880,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,6TH AVE,6TH AVE BETWEEN UNIVERSITY ST AND UNION ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7882,6TH AVE BETWEEN UNION ST AND PIKE ST,6TH AVE,6TH AVE BETWEEN UNION ST AND PIKE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7883,6TH AVE BETWEEN PIKE ST AND PINE ST,6TH AVE,6TH AVE BETWEEN PIKE ST AND PINE ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
8152,7TH AVE BETWEEN JAMES ST AND CHERRY ST,7TH AVE,7TH AVE BETWEEN JAMES ST AND CHERRY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
8153,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,7TH AVE,7TH AVE BETWEEN CHERRY ST AND COLUMBIA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
