overall_mean_occupancy,all_rate_mean_ps,parking_spaces,paystation_count,street_width,speed_limit,building_coverage_ratio,commercial_mixed_share,residential_share,transport_parking_share,one_way_Y,artdescript_Interstate/Freeway,artdescript_Minor Arterial,artdescript_Not Designated,artdescript_Principal Arterial,artdescript_State Route/Freeway
0.5435267017475743,1.0,7.5,2.0,42.0,20.0,0.27867937987919267,0.7980516111843701,0.20194838881562996,0.0,False,False,False,True,False,False
0.5595954350645171,1.0,3.5,2.0,0.0,20.0,0.29081530405574135,0.8455979164195764,0.08541401788585065,0.0,False,False,False,True,False,False
0.3502700892857143,3.5,7.5,2.0,42.0,25.0,0.3962281771180452,0.9121236886388084,0.0,0.0,True,False,True,False,False,False
0.35029513888888886,3.5,5.5,2.0,42.0,25.0,0.3922295592511284,0.701511795693048,0.05797104625125059,0.0,True,False,False,False,True,False
0.21748624108825768,1.1666666666666667,6.5,2.0,42.0,25.0,0.2250507424279858,0.1455622840542006,0.03905968367447166,0.0,True,False,False,False,True,False
0.18913210168308237,1.1666666666666667,11.0,1.0,42.0,25.0,0.3132388609685466,0.9022995761141257,0.0,0.0,True,False,False,False,True,False
0.05747562967529064,4.5,4.0,1.0,25.0,20.0,0.27561744071337296,0.28314832248539484,0.3594007330568181,0.0,False,False,False,True,False,False
0.0421765602294017,4.5,7.0,1.0,25.0,20.0,0.24935553012351663,0.056923825825482874,0.24388065295948197,0.0,False,False,False,True,False,False
0.13795060968468986,4.5,5.25,2.0,30.0,20.0,0.2844806748753371,0.17297046600313482,0.3830003834088017,0.0,False,False,False,True,False,False
0.06755847025811462,4.5,8.5,2.0,30.0,20.0,0.35351848886525516,0.191526027611046,0.3085178622275026,0.0,False,False,False,True,False,False
0.168092965967825,4.5,11.0,1.0,30.0,20.0,0.1949252865545657,0.243831090485368,0.22436022735953898,0.0,False,False,False,True,False,False
0.17612246934565096,4.5,3.0,1.0,35.0,20.0,0.24065927099700984,0.49601808837231404,0.0,0.0,False,False,False,True,False,False
0.34112538458541847,1.0,13.0,2.0,0.0,20.0,0.4015551398777934,1.0,0.0,0.0,True,False,False,True,False,False
0.2838084333136407,1.0,10.5,3.0,42.0,20.0,0.33681951186775144,0.9525677875208688,0.0,0.0,True,False,False,True,False,False
0.35625901280686456,1.0,8.5,2.0,41.0,20.0,0.29053895526277834,0.756873458956638,0.0,0.04623199797452357,True,False,False,True,False,False
0.3363800989572546,1.0,14.0,1.0,41.0,20.0,0.36794507057870746,0.532822169332705,0.0,0.4199091050227649,True,False,False,True,False,False
0.4005628615350153,1.0,8.0,2.0,41.0,20.0,0.2156615585105915,0.29243570842320354,0.21290590361983314,0.053253096242074756,False,False,False,True,False,False
0.3034197248931624,1.1666666666666667,4.5,2.0,42.0,25.0,0.377374571611069,0.5500880325215298,0.0,0.0,True,False,False,False,True,False
0.46830777880332863,1.1666666666666667,3.5,2.0,40.0,25.0,0.2821386918218749,0.6045766945134352,0.0,0.0,True,False,False,False,True,False
0.27580878831417627,1.1666666666666667,6.0,1.0,42.0,25.0,0.3192801702527185,0.7123178728427263,0.0,0.0,True,False,False,False,True,False
0.06273972086436108,4.5,7.0,1.0,24.0,20.0,0.16889079951796843,0.9103907389625451,0.022922603261235394,0.0,False,False,False,True,False,False
0.06796978557504872,4.5,9.0,1.0,24.0,20.0,0.30829512582367674,0.3009129249249115,0.1866578484361485,0.0,False,False,False,True,False,False
0.21720529477229,4.5,4.5,2.0,30.0,20.0,0.3092351759415671,0.18676389523963186,0.11410469908451645,0.0,False,False,False,True,False,False
0.11199916836895973,4.5,7.5,2.0,30.0,20.0,0.23430791726891534,0.3007478598400243,0.18665610196177362,0.0,False,False,False,True,False,False
0.44216257867059006,1.0,6.5,2.0,0.0,20.0,0.3563540868632292,0.5634935816212174,0.062226306044643645,0.0,False,False,False,True,False,False
0.553187199328834,1.0,6.0,2.0,42.0,20.0,0.30288249315104593,0.6008767684105893,0.3991232315894106,0.0,False,False,False,True,False,False
