compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
11665,MARION ST BETWEEN 3RD AVE AND 4TH AVE,MARION ST,MARION ST BETWEEN 3RD AVE AND 4TH AVE,0.5852988175135826,0.10023809523809524,0.2887619047619047,0.545952380952381,0,Night/weekend intensive streets
11666,MARION ST BETWEEN 4TH AVE AND 5TH AVE,MARION ST,MARION ST BETWEEN 4TH AVE AND 5TH AVE,0.5420021367521367,0.4417853751187084,0.43477777777777776,0.5211111111111111,2,Consistently high occupancy streets
11667,MARION ST BETWEEN 5TH AVE AND 6TH AVE,MARION ST,MARION ST BETWEEN 5TH AVE AND 6TH AVE,0.3625304232804233,0.30597079900877366,0.30833333333333335,0.32379629629629625,0,Night/weekend intensive streets
11668,MARION ST BETWEEN 7TH AVE AND 8TH AVE,MARION ST,MARION ST BETWEEN 7TH AVE AND 8TH AVE,0.3918565606161652,0.2302901089168235,0.09699999999999999,0.30322916666666666,0,Night/weekend intensive streets
11669,MARION ST BETWEEN 8TH AVE AND 9TH AVE,MARION ST,MARION ST BETWEEN 8TH AVE AND 9TH AVE,0.1250023348565015,0.06774764150943395,0.04238888888888889,0.10027777777777777,1,Consistently low occupancy streets
11670,MARION ST BETWEEN 9TH AVE AND TERRY AVE,MARION ST,MARION ST BETWEEN 9TH AVE AND TERRY AVE,0.08763416353596455,0.07199404761904762,0.08647186147186148,0.12,1,Consistently low occupancy streets
11671,MARION ST BETWEEN TERRY AVE AND BOREN AVE,MARION ST,MARION ST BETWEEN TERRY AVE AND BOREN AVE,0.238603559618911,0.267275,0.33230000000000004,0.37733333333333335,0,Night/weekend intensive streets
11868,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,MINOR AVE,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,0.21824820947246823,0.22502083333333336,0.1376666666666667,0.15966666666666668,1,Consistently low occupancy streets
11871,MINOR AVE BETWEEN MARION ST AND MADISON ST,MINOR AVE,MINOR AVE BETWEEN MARION ST AND MADISON ST,0.2806801480281973,0.27116103316326534,0.24328333333333332,0.24050000000000002,0,Night/weekend intensive streets
11872,MINOR AVE BETWEEN MADISON ST AND SPRING ST,MINOR AVE,MINOR AVE BETWEEN MADISON ST AND SPRING ST,0.12308273148566097,0.09575498575498576,0.10094444444444443,0.13555555555555557,1,Consistently low occupancy streets
11873,MINOR AVE BETWEEN SPRING ST AND SENECA ST,MINOR AVE,MINOR AVE BETWEEN SPRING ST AND SENECA ST,0.06226204120958153,0.06032494758909853,0.09260416666666667,0.11452546296296295,1,Consistently low occupancy streets
